,lad19cd,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26
0,E06000001,4.2298884,4.4711213,4.730071,5.007697,5.3050046,5.623035,5.962869,6.3256216,6.7124376,7.1244936,7.5629897,8.029147,8.524196,9.049383,9.605949,10.195132,10.818161,11.476229,12.170507,12.902113,13.672105,14.481473,15.331125,16.221853,17.154337,18.129126,19.146599,20.206966,21.310234,22.456203,23.644411,24.874153,26.144428,27.453917,28.800978,30.183634,31.5995,33.04583,34.51944,36.01676,37.533756,39.065983,40.608524,42.156033,43.702736,45.24244,46.76854,48.274067,49.751686,51.19379,52.592514,53.93977,55.227375,56.447044,57.590546,58.64971,59.61656,60.483433,61.24298,61.888905,62.417606,62.8267,63.114536,63.28015,63.323307,63.24446,63.04475,62.725975,62.290573,61.74161,61.082714,60.31808,59.45239,58.490826,57.438976,56.302826,55.08867,53.80315,52.453094,51.04554,49.587673,48.08675,46.550068,44.984924,43.398518,41.797962,40.19019,38.581932,36.97965,35.389526,33.81742,32.268814,30.74881,29.262087,27.81291,26.405075,25.041958,23.726456,22.461035,21.247707,20.088076,18.983318,17.934252,16.941313,16.004631,15.124041,14.299112,13.529226,12.813565,12.151195,11.541087,10.982184,10.47343,10.013821,9.602478,9.238677,8.921928
1,E06000002,6.82171,7.0471935,7.2974596,7.5735846,7.8767915,8.208438,8.570024,8.963178,9.389662,9.851377,10.350347,10.888735,11.468812,12.092976,12.763736,13.483707,14.255593,15.082178,15.966317,16.9109,17.918848,18.993078,20.136477,21.351854,22.64192,24.00923,25.456146,26.984762,28.596859,30.293844,32.07666,33.945732,35.900875,37.941208,40.06508,42.26998,44.552464,46.908035,49.33109,51.814857,54.3513,56.93108,59.543518,62.176575,64.81684,67.44953,70.058586,72.62672,75.13549,77.56551,79.89655,82.107765,84.177925,86.08575,87.81005,89.33025,90.62655,91.6804,92.47478,92.99694,93.24556,93.22411,92.93847,92.39665,91.60873,90.58652,89.343414,87.89413,86.25441,84.44089,82.47073,80.36155,78.131035,75.796875,73.37654,70.887085,68.34505,65.7663,63.165913,60.558132,57.95625,55.37259,52.818424,50.304024,47.838547,45.43016,43.08597,40.812103,38.613697,36.494965,34.45927,32.50914,30.646338,28.871931,27.186346,25.589443,24.08058,22.65865,21.322187,20.06939,18.898207,17.806381,16.791513,15.851112,14.982647,14.183594,13.451494,12.7839985,12.178911,11.634245,11.148272,10.7195835,10.347154,10.03041,9.769326,9.564526,9.417421
2,E06000003,3.6432102,3.7573304,3.8873606,4.034009,4.1981206,4.3806624,4.5827384,4.8055806,5.050554,5.3191648,5.613058,5.934025,6.283996,6.66506,7.0794525,7.529565,8.017939,8.547267,9.120397,9.74031,10.410125,11.133083,11.912542,12.751929,13.654753,14.624557,15.664873,16.779215,17.970978,19.24345,20.599691,22.04249,23.574295,25.19711,26.912388,28.720993,30.623016,32.617718,34.7034,36.87727,39.13535,41.472374,43.881645,46.354977,48.882595,51.453083,54.053345,56.668575,59.282307,61.87646,64.431435,66.926216,69.33864,71.64555,73.8231,75.847115,77.69336,79.33807,80.75828,81.934456,82.8574,83.52259,83.92801,84.07423,83.964226,83.60334,82.99908,82.16093,81.10022,79.82985,78.364075,76.71833,74.9089,72.952736,70.86725,68.670044,66.378746,64.01076,61.583157,59.112442,56.614532,54.10444,51.596363,49.1035,46.637993,44.21091,41.832195,39.510674,37.254032,35.06886,32.96065,30.933882,28.99202,27.137619,25.372335,23.697054,22.111916,20.616402,19.209417,17.889355,16.654179,15.501478,14.428554,13.43247,12.510126,11.6583,10.873713,10.153074,9.493125,8.890674,8.342648,7.8461165,7.398322,6.9967165,6.6389914,6.323102,6.0473113
3,E06000004,4.779681,5.0947127,5.4393625,5.81601,6.227229,6.675786,7.1646557,7.6970205,8.2762785,8.906051,9.590179,10.332733,11.137993,12.010465,12.954864,13.976097,15.079259,16.2696,17.552513,18.933485,20.418072,22.01185,23.720352,25.549023,27.503115,29.587662,31.807337,34.16638,36.66846,39.316628,42.113083,45.059128,48.155,51.39968,54.790813,58.32453,61.99528,65.7957,69.716484,73.74627,77.87149,82.07639,86.342834,90.65039,94.97631,99.29559,103.58103,107.80346,111.93184,115.93366,119.77514,123.42162,126.83801,129.98927,132.84082,135.35927,137.51283,139.27196,140.60994,141.50706,141.96173,141.98022,141.57289,140.7539,139.54079,137.95406,136.01682,133.75418,131.19307,128.36156,125.28853,122.0033,118.535225,114.9134,111.16625,107.32137,103.40521,99.442955,95.45828,91.47327,87.50836,83.582214,79.711716,75.91199,72.196365,68.57647,65.06224,61.66205,58.3827,55.229614,52.206833,49.317226,46.56254,43.94347,41.459854,39.110718,36.89442,34.80871,32.850864,31.01778,29.306034,27.711996,26.231909,24.861946,23.598305,22.437275,21.37529,20.409027,19.53544,18.751854,18.05603,17.446264,16.921467,16.481268,16.126173,15.8577,15.678592
4,E06000005,1.202073,1.3526572,1.5200299,1.705649,1.911038,2.1377769,2.3874981,2.661875,2.9626124,3.291439,3.6500878,4.04029,4.46375,4.9221396,5.417072,5.950085,6.5226293,7.136035,7.791505,8.490083,9.232644,10.019863,10.852208,11.729905,12.652934,13.621006,14.6335535,15.689698,16.788261,17.927744,19.106321,20.32183,21.57178,22.853329,24.163317,25.498259,26.854343,28.227457,29.613194,31.006878,32.403587,33.798172,35.18528,36.5594,37.91488,39.24598,40.5469,41.811825,43.034958,44.21058,45.333088,46.39703,47.39719,48.328568,49.18649,49.966618,50.665005,51.278114,51.80288,52.23691,52.578968,52.828537,52.98559,53.050632,53.02463,52.909008,52.705624,52.416733,52.044983,51.59333,51.065083,50.463814,49.793358,49.057762,48.261295,47.408363,46.503525,45.55146,44.55691,43.52469,42.459637,41.366608,40.250412,39.11585,37.967617,36.810364,35.648594,34.4867,33.328938,32.179356,31.041868,29.920168,28.81775,27.7379,26.683672,25.657898,24.663202,23.701971,22.776371,21.888382,21.039776,20.23216,19.466988,18.745579,18.06917,17.43893,16.856016,16.321625,15.837034,15.403689,15.023275,14.697812,14.42978,14.222238,14.079016,14.004924,14.006033
5,E06000006,2.6954815,3.2089758,3.7989535,4.4724307,5.2362747,6.0970416,7.0608196,8.133043,9.318322,10.620266,12.041318,13.582612,15.243813,17.023046,18.916792,20.91985,23.025333,25.224693,27.507774,29.86294,32.27721,34.736393,37.225338,39.728127,42.228306,44.709164,47.153942,49.54615,51.86974,54.109375,56.250645,58.28023,60.1861,61.957626,63.585655,65.06266,66.38271,67.541534,68.53646,69.366425,70.03185,70.53462,70.87795,71.06625,71.10507,71.000885,70.761024,70.39349,69.906876,69.310165,68.61268,67.82391,66.95346,66.01088,65.00565,63.947044,62.8441,61.705555,60.5398,59.353886,58.15076,56.93243,55.700855,54.45798,53.205757,51.946068,50.680775,49.411686,48.140553,46.869102,45.59898,44.331814,43.06915,41.81251,40.56337,39.323143,38.093212,36.874954,35.669647,34.478584,33.303,32.144123,31.003113,29.881128,28.779268,27.698612,26.640205,25.605047,24.594088,23.608244,22.64837,21.71528,20.809729,19.93241,19.083946,18.264914,17.475815,16.717077,15.989077,15.292105,14.626405,13.992151,13.389464,12.818414,12.279029,11.771307,11.295222,10.850752,10.437869,10.056585,9.706954,9.389111,9.103297,8.849886,8.629438,8.4427395,8.290871
6,E06000007,10.961663,11.813362,12.728674,13.7110405,14.763938,15.890847,17.095232,18.380505,19.750004,21.206963,22.754456,24.395388,26.13242,27.96795,29.904053,31.942444,34.084408,36.330757,38.6818,41.13724,43.69616,46.356945,49.117264,51.97397,54.923088,57.95975,61.078182,64.27163,67.53238,70.851685,74.21982,77.62596,81.058395,84.504295,87.94995,91.3807,94.78107,98.13477,101.42485,104.63373,107.7434,110.735535,113.5916,116.29302,118.82143,121.1587,123.28734,125.19049,126.85223,128.25778,129.39372,130.24803,130.81047,131.0727,131.02826,130.67302,130.00499,129.02458,127.73465,126.14241,124.265274,122.12412,119.74107,117.13905,114.34148,111.37198,108.25417,105.01135,101.66628,98.241,94.756615,91.233284,87.68994,84.14434,80.61291,77.11071,73.65153,70.24772,66.91029,63.648983,60.472214,57.38717,54.399876,51.515255,48.737164,46.06851,43.51129,41.06672,38.735218,36.516567,34.40993,32.41397,30.52689,28.74648,27.070225,25.495325,24.01879,22.637453,21.348053,20.147259,19.031738,17.998175,17.043322,16.164038,15.357329,14.620383,13.950594,13.345634,12.803462,12.322389,11.901126,11.538859,11.235315,10.99085,10.806596,10.684572,10.627916
7,E06000008,13.14095,13.601151,14.108288,14.664452,15.271974,15.933411,16.651546,17.429388,18.27014,19.177229,20.154276,21.205091,22.333649,23.544106,24.840746,26.227978,27.7103,29.292278,30.978502,32.77355,34.681927,36.70801,38.85603,41.129925,43.533306,46.06939,48.740864,51.549805,54.497555,57.584644,60.81062,64.17394,67.67187,71.30028,75.053566,78.92455,82.90429,86.98198,91.14487,95.378174,99.665016,103.98639,108.321075,112.6458,116.93523,121.16204,125.2971,129.30974,133.16785,136.83838,140.28749,143.4811,146.38527,148.96672,151.19331,153.03462,154.46252,155.45168,155.98015,156.03409,155.62033,154.75401,153.45406,151.74266,149.64485,147.18797,144.40129,141.31537,137.96175,134.37242,130.57945,126.6146,122.50897,118.29271,113.99483,109.64284,105.262726,100.878716,96.51323,92.18679,87.918,83.72351,79.61805,75.61454,71.723976,67.955696,64.31739,60.815125,57.453583,54.236042,51.164616,48.24027,45.462963,42.8318,40.34508,38.000458,35.795025,33.72539,31.787813,29.97825,28.292479,26.726141,25.274836,23.934185,22.699898,21.567835,20.53405,19.594894,18.747023,17.987494,17.313818,16.724043,16.216839,15.791576,15.44847,15.188716,15.014668
8,E06000009,2.446238,2.6655102,2.9068532,3.1722834,3.4639726,3.7842476,4.135599,4.5206814,4.9423127,5.403478,5.907327,6.457166,7.056446,7.708763,8.417835,9.187482,10.021607,10.92417,11.89914,12.950476,14.082068,15.297686,16.60093,17.995152,19.483395,21.068312,22.752087,24.536335,26.422007,28.409323,30.497616,32.68528,34.96965,37.3469,39.811943,42.358395,44.97842,47.662735,50.400555,53.179504,55.985725,58.803806,61.616875,64.406685,67.15375,69.837395,72.4361,74.927605,77.2892,79.498024,81.53137,83.367035,84.98364,86.361084,87.48083,88.32627,88.88321,89.14007,89.08823,88.72485,88.06068,87.111824,85.8969,84.436356,82.75224,80.86762,78.8062,76.59191,74.24859,71.79957,69.2675,66.67404,64.03967,61.38353,58.72334,56.075268,53.453926,50.87235,48.341995,45.87277,43.473137,41.150124,38.909443,36.75558,34.69186,32.720596,30.843176,29.060146,27.371328,25.775915,24.27256,22.859472,21.534485,20.295158,19.138815,18.062643,17.063732,16.139128,15.285903,14.50118,13.782195,13.126328,12.531145,11.994436,11.514257,11.088981,10.71732,10.398418,10.131881,9.917867,9.757188,9.651421,9.603073,9.615769,9.694516,9.846043,10.079259
9,E06000010,2.7655811,2.8064203,2.862678,2.9346075,3.0226808,3.1275835,3.2502134,3.3916852,3.5533328,3.736729,3.9436898,4.1762986,4.436918,4.728221,5.053209,5.4152403,5.818065,6.265851,6.7632256,7.3152986,7.927714,8.60668,9.3590145,10.192164,11.11426,12.134146,13.261389,14.50633,15.880056,17.394444,19.062113,20.896412,22.911375,25.121605,27.542229,30.188725,33.076756,36.221954,39.639683,43.34469,47.350792,51.670483,56.31441,61.29092,66.60552,72.26022,78.25295,84.57701,91.22021,98.16445,105.3851,112.85035,120.521,128.34998,136.2822,144.25487,152.19733,160.0319,167.67447,175.03998,182.05794,188.66322,194.79301,200.38766,205.39185,209.75536,213.43375,216.38934,218.59183,220.01855,220.65512,220.4957,219.54272,217.80742,215.30908,212.0752,208.14064,203.54724,198.34302,192.58148,186.32057,179.62195,172.54977,165.16983,157.54855,149.752,141.84485,133.88976,125.94629,118.07045,110.31389,102.72359,95.341385,88.20374,81.34167,74.78058,68.540504,62.636158,57.07727,51.868893,47.011753,42.502735,38.335316,34.500027,30.984957,27.776203,24.858315,22.21475,19.82823,17.681103,15.755659,14.034405,12.500275,11.13682,9.928367,8.860103,7.9181757
10,E06000011,4.041184,4.257448,4.496851,4.761189,5.0524526,5.3728366,5.7247515,6.1108356,6.5339627,6.9972687,7.5041494,8.05829,8.663652,9.324523,10.045494,10.831487,11.687759,12.619913,13.63389,14.735976,15.932796,17.23129,18.638733,20.162659,21.810865,23.591354,25.512293,27.581938,29.80855,32.200333,34.76529,37.51112,40.4451,43.573887,46.903362,50.43848,54.183,58.1393,62.308155,66.68847,71.27704,76.06833,81.05415,86.223526,91.56241,97.05341,102.6758,108.405266,114.21382,120.06986,125.93815,131.78,137.5534,143.21346,148.71257,154.00117,159.02817,163.74153,168.08932,172.02342,175.5103,178.5233,181.03972,183.0413,184.51434,185.44974,185.84323,185.69522,185.01085,183.7998,182.07594,179.8576,177.16663,174.0285,170.4719,166.5281,162.23082,157.61563,152.7195,147.58044,142.23697,136.72774,131.091,125.3644,119.58441,113.78605,108.00266,102.26553,96.603714,91.04379,85.60983,80.323166,75.20246,70.26358,65.51971,60.98131,56.65638,52.550392,48.66656,45.005974,41.567776,38.34938,35.34667,32.55421,29.965425,27.572853,25.368303,23.343063,21.488049,19.793993,18.25158,16.851568,15.584929,14.442924,13.417215,12.499933,11.683751
11,E06000012,1.1016806,1.1392618,1.1844491,1.2377074,1.2996192,1.3708864,1.452341,1.5449516,1.6498351,1.7682714,1.9017168,2.0518236,2.2204545,2.4097085,2.6219416,2.8597915,3.126205,3.4244645,3.7582207,4.1315155,4.5488234,5.015071,5.5356746,6.1165643,6.7642055,7.4856267,8.288423,9.180768,10.171406,11.269632,12.485261,13.8285675,15.310216,16.941154,18.732477,20.695292,22.840464,25.178436,27.71891,30.470543,33.440586,36.634487,40.05544,43.703945,47.577324,51.6692,55.969032,60.461662,65.126884,69.9391,74.867035,79.873634,84.91601,89.945724,94.90894,99.74724,104.39814,108.7964,112.87494,116.57069,119.839615,122.64693,124.96389,126.768166,128.04417,128.78333,128.98395,128.65118,127.7968,126.438614,124.60016,122.31003,119.601135,116.51015,113.07652,109.341934,105.34939,101.142525,96.76489,92.259285,87.66723,83.028366,78.380035,73.7569,69.19067,64.709885,60.339787,56.10222,52.01567,48.09531,44.353092,40.797962,37.43598,34.270596,31.30286,28.531696,25.954172,23.565725,21.360455,19.33136,17.470562,15.769551,14.219353,12.810733,11.534346,10.3808775,9.341163,8.406291,7.5676665,6.817096,6.146818,5.5495462,5.0184865,4.547347,4.130348,3.7622066,3.4381402
12,E06000013,2.5271223,2.6556165,2.7961538,2.949548,3.116689,3.2985425,3.4961555,3.7106562,3.9432578,4.195266,4.4680743,4.763177,5.082157,5.426704,5.798607,6.1997566,6.632148,7.0978775,7.5991454,8.1382475,8.717577,9.339613,10.006922,10.722136,11.48795,12.30711,13.182383,14.11655,15.112373,16.17258,17.299818,18.496637,19.765429,21.108406,22.527536,24.024517,25.600693,27.25701,28.99395,30.811472,32.708942,34.685055,36.737785,38.8643,41.060913,43.32301,45.644978,48.020206,50.440968,52.898476,55.38282,57.882942,60.386745,62.88102,65.35158,67.7833,70.160255,72.465836,74.68286,76.79449,78.78645,80.64552,82.359024,83.91491,85.301956,86.50985,87.5293,88.35219,88.971664,89.382225,89.57977,89.56175,89.3271,88.87643,88.21188,87.337234,86.257835,84.98061,83.51394,81.86764,80.05279,78.081696,75.96773,73.72513,71.36891,68.9147,66.37847,63.776424,61.124832,58.439774,55.73703,53.031868,50.338936,47.672062,45.044167,42.467155,39.951817,37.507748,35.14335,32.865765,30.680916,28.59347,26.606924,24.723644,22.944921,21.271074,19.701506,18.234846,16.869005,15.601306,14.428575,13.347255,12.353488,11.443213,10.612262,9.856421,9.171527
13,E06000014,3.0902245,3.3866913,3.7124915,4.070063,4.4619827,4.890961,5.3598404,5.8715844,6.429273,7.0360913,7.695315,8.410298,9.184445,10.021201,10.924018,11.896328,12.941512,14.062862,15.263553,16.546576,17.914719,19.370497,20.916115,22.553396,24.283737,26.108034,28.02664,30.039288,32.145008,34.342113,36.628098,38.999584,41.452305,43.980976,46.57933,49.240063,51.95477,54.713943,57.507027,60.322342,63.147163,65.96776,68.76944,71.53661,74.25296,76.90147,79.464615,81.9245,84.26303,86.46215,88.504005,90.371124,92.04675,93.515,94.76111,95.77173,96.53504,97.04107,97.281876,97.25314,96.95881,96.4065,95.605804,94.56815,93.306526,91.83523,90.1697,88.326195,86.321686,84.17348,81.899086,79.51609,77.04182,74.49326,71.88698,69.238815,66.56394,63.87673,61.1906,58.518044,55.870586,53.258724,50.691917,48.17864,45.72631,43.341408,41.029434,38.794994,36.641792,34.57275,32.589993,30.69494,28.888378,27.17047,25.54086,23.998705,22.542763,21.171404,19.882696,18.674463,17.544327,16.489737,15.508038,14.5965185,13.752428,12.973041,12.255666,11.597718,10.996713,10.450332,9.956442,9.513134,9.118761,8.771985,8.471822,8.217696,8.0095215
14,E06000015,5.804026,5.814182,5.852866,5.919482,6.013821,6.136024,6.286565,6.4662313,6.6761103,6.9175906,7.192361,7.5024085,7.8500204,8.237803,8.668688,9.145935,9.673161,10.254332,10.893795,11.59628,12.366911,13.211214,14.135131,15.145003,16.247576,17.449987,18.759752,20.184713,21.733017,23.413042,25.23335,27.202576,29.329315,31.62201,34.08878,36.73728,39.574444,42.60627,45.837605,49.27182,52.910507,56.753204,60.797005,65.03625,69.462135,74.062485,78.82129,83.71854,88.729935,93.82673,98.97566,104.138916,109.27424,114.33525,119.271675,124.03005,128.55428,132.78642,136.66783,140.1444,143.18146,145.75308,147.83826,149.42125,150.4917,151.0447,151.0808,150.60582,149.63075,148.17136,146.24783,143.8846,141.10947,137.95343,134.45007,130.635,126.54519,122.21867,117.69385,113.00904,108.20193,103.30924,98.36636,93.40685,88.46227,83.56191,78.73259,73.998505,69.38119,64.89937,60.56908,56.403664,52.41378,48.607655,44.991077,41.56765,38.33893,35.304626,32.46278,29.810013,27.34166,25.052021,22.934523,20.981913,19.186424,17.539938,16.034105,14.660521,13.410781,12.2766285,11.250012,10.323176,9.488707,8.73958,8.069215,7.4714913,6.9407835
15,E06000016,26.837803,27.305063,27.829216,28.410706,29.050228,29.7487,30.507288,31.327332,32.210377,33.158157,34.172577,35.255726,36.409798,37.637196,38.94041,40.322083,41.78498,43.331947,44.96595,46.69001,48.507214,50.42071,52.433674,54.54925,56.7706,59.10083,61.54295,64.099884,66.77441,69.569084,72.48629,75.5281,78.69631,81.99225,85.4169,88.970764,92.65371,96.465065,100.403435,104.46669,108.65186,112.95515,117.37171,121.89572,126.520325,131.23749,136.0379,140.91107,145.84528,150.82745,155.84314,160.87665,165.91096,170.92776,175.90749,180.82947,185.67197,190.41222,195.02664,199.49062,203.77702,207.85764,211.7038,215.28654,218.577,221.54645,224.16672,226.4106,228.252,229.66644,230.63135,231.12637,231.13396,230.63942,229.6315,228.10255,226.04895,223.47134,220.37457,216.7682,212.6663,208.08755,203.05507,197.59648,191.7434,185.53122,178.99875,172.18767,165.14203,157.9077,150.5316,143.06125,135.54395,128.02615,120.55287,113.16705,105.908966,98.81583,91.921326,85.25529,78.84347,72.7074,66.86431,61.3272,56.10494,51.202427,46.62091,42.35825,38.409264,34.76612,31.418737,28.35517,25.56199,23.024687,20.728012,18.656284,16.793716
16,E06000017,0.24090718,0.26702285,0.29588795,0.3277335,0.36280087,0.40134048,0.44361103,0.48987788,0.5404108,0.5954834,0.6553695,0.7203419,0.7906684,0.8666105,0.94841933,1.0363319,1.1305696,1.2313321,1.3387961,1.4531095,1.5743897,1.702718,1.8381385,1.9806502,2.130209,2.2867208,2.4500403,2.619968,2.7962468,2.9785626,3.1665406,3.359746,3.5576825,3.759793,3.9654589,4.1740065,4.3847,4.5967526,4.8093257,5.0215335,5.232447,5.4411025,5.6465025,5.847625,6.043432,6.2328773,6.4149103,6.5884905,6.7525935,6.906222,7.0484123,7.17825,7.294875,7.3974915,7.4853773,7.5578985,7.614507,7.6547604,7.6783156,7.68501,7.675053,7.6488256,7.6068125,7.549593,7.4778275,7.392249,7.293655,7.1828904,7.060847,6.928442,6.7866235,6.636342,6.4785604,6.314235,6.1443124,5.969721,5.7913656,5.6101274,5.4268484,5.242338,5.0573673,4.8726606,4.6889024,4.506729,4.32673,4.1494474,3.9753773,3.8049676,3.6386192,3.476689,3.319487,3.1672833,3.0203047,2.8787405,2.742742,2.6124272,2.4878824,2.3691628,2.2562995,2.1492994,2.0481482,1.952815,1.8632555,1.7794138,1.7012273,1.6286305,1.5615566,1.4999452,1.4437431,1.3929119,1.3474305,1.3073043,1.2725692,1.2433006,1.2196236,1.2017226,1.1898576
